----- Execution time for 5 elements -----
Number	Tetranacci Value Execution time(in ns)
70	7057305768232953720	21810
71	13603394248202156068	20484
72	26221385490337611456	19643
73	50543345615654480321	52507
74	97425431122427201565	23296
75	187793556476621449410	22194
76	361983718705040742752	20990
77	697746051919743874048	22853
78	1344948758223833267775	23017
79	2592472085325239333985	24383
80	4997150614173857218560	25437
81	9632317509642673694368	25343
82	18566888967365603514688	24760
83	35788829176507373761601	25065
84	68985186267689508189217	24389
85	132973221921205159159874	25765
86	256314126332767644625380	26247
87	494061363698169685736072	25135
88	952333898219831997710543	25594
89	1835682610171974487231869	26015
90	3538391998422743815303864	25363


----- Execution time for 95 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	986
2	0	614
3	1	613
4	1	782
5	2	805
6	4	904
7	8	3199
8	15	1506
9	29	1383
10	56	18391
11	108	1834
12	208	4234
13	401	2059
14	773	4724
15	1490	2471
16	2872	2588
17	5536	5413
18	10671	5384
19	20569	5246
20	39648	3216
21	76424	3415
22	147312	3557
23	283953	3830
24	547337	6264
25	1055026	7023
26	2033628	6288
27	3919944	6499
28	7555935	6633
29	14564533	7042
30	28074040	7125
31	54114452	7380
32	104308960	7986
33	201061985	7843
34	387559437	7704
35	747044834	9867
36	1439975216	7887
37	2775641472	11405
38	5350220959	11486
39	10312882481	11010
40	19878720128	10080
41	38317465040	11093
42	73859288608	9816
43	142368356257	9180
44	274423830033	10233
45	528968939938	11693
46	1019620414836	11974
47	1965381541064	12561
48	3788394725871	12528
49	7302365621709	14934
50	14075762303480	13820
51	27131904192124	13270
52	52298426843184	16309
53	100808458960497	13664
54	194314552299285	17022
55	374553342295090	14315
56	721974780398056	14274
57	1391651133952928	17524
58	2682493808945359	14593
59	5170673065591433	15967
60	9966792788887776	17387
61	19211610797377496	54542
62	37031570460802064	17907
63	71380647112658769	19018
64	137590621159726105	19532
65	265214449530564434	18590
66	511217288263751372	19289
67	985403006066700680	19877
68	1899425365020742591	19523
69	3661260108881759077	19804
70	7057305768232953720	20064
71	13603394248202156068	22106
72	26221385490337611456	20675
73	50543345615654480321	23445
74	97425431122427201565	32558
75	187793556476621449410	19883
76	361983718705040742752	22067
77	697746051919743874048	23276
78	1344948758223833267775	21990
79	2592472085325239333985	21374
80	4997150614173857218560	21863
81	9632317509642673694368	24191
82	18566888967365603514688	25150
83	35788829176507373761601	25368
84	68985186267689508189217	22414
85	132973221921205159159874	24490
86	256314126332767644625380	25619
87	494061363698169685736072	28923
88	952333898219831997710543	24394
89	1835682610171974487231869	25531
90	3538391998422743815303864	37954
91	6820469870512719985982348	28579
92	13146878377327270286228624	58327
93	25341422856434708574746705	38200
94	48847163102697442662261541	30131
95	94155934206972141509219218	29870


----- Execution time for 100 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	284
2	0	169
3	1	89
4	1	334
5	2	362
6	4	339
7	8	455
8	15	3314
9	29	760
10	56	820
11	108	1202
12	208	1245
13	401	1282
14	773	4644
15	1490	1701
16	2872	4705
17	5536	4796
18	10671	5040
19	20569	2586
20	39648	2683
21	76424	4833
22	147312	5629
23	283953	5657
24	547337	6683
25	1055026	4174
26	2033628	5558
27	3919944	7656
28	7555935	6692
29	14564533	6650
30	28074040	6681
31	54114452	6612
32	104308960	8823
33	201061985	7173
34	387559437	9806
35	747044834	9061
36	1439975216	8739
37	2775641472	11431
38	5350220959	10471
39	10312882481	8483
40	19878720128	8475
41	38317465040	11050
42	73859288608	10622
43	142368356257	10711
44	274423830033	10889
45	528968939938	11243
46	1019620414836	12072
47	1965381541064	11739
48	3788394725871	11693
49	7302365621709	12252
50	14075762303480	12184
51	27131904192124	12662
52	52298426843184	12331
53	100808458960497	12143
54	194314552299285	14995
55	374553342295090	12700
56	721974780398056	15566
57	1391651133952928	13403
58	2682493808945359	13683
59	5170673065591433	16015
60	9966792788887776	16368
61	19211610797377496	15999
62	37031570460802064	15934
63	71380647112658769	16967
64	137590621159726105	16422
65	265214449530564434	16218
66	511217288263751372	16766
67	985403006066700680	17121
68	1899425365020742591	17006
69	3661260108881759077	63043
70	7057305768232953720	17654
71	13603394248202156068	26187
72	26221385490337611456	11247
73	50543345615654480321	14348
74	97425431122427201565	19628
75	187793556476621449410	21615
76	361983718705040742752	18580
77	697746051919743874048	18476
78	1344948758223833267775	19123
79	2592472085325239333985	21648
80	4997150614173857218560	22516
81	9632317509642673694368	21042
82	18566888967365603514688	21924
83	35788829176507373761601	21575
84	68985186267689508189217	22480
85	132973221921205159159874	21008
86	256314126332767644625380	22278
87	494061363698169685736072	20372
88	952333898219831997710543	23274
89	1835682610171974487231869	52362
90	3538391998422743815303864	24123
91	6820469870512719985982348	23916
92	13146878377327270286228624	24357
93	25341422856434708574746705	26001
94	48847163102697442662261541	38205
95	94155934206972141509219218	24233
96	181491398543431563032456088	25297
97	349835918709535855778683552	24706
98	674330414562637002982620399	27385
99	1299813666022576563302979257	29783
100	2505471397838180985096739296	28417


